symbol,kite_tradingsymbol,kite_instrument_token,breeze_stock_code,closing_price,avg_volume_per_minute,price_date,has_both_codes,kite_name
INDIGO,INDIGO,2865921,INTAVI,4959.2,2963.55,2026-02-10,True,INTERGLOBE AVIATION
SHK,SHK,2870273,SHKEL,174.02,1911.77,2026-02-10,True,S H KELKAR AND CO.
WELSPUNLIV,WELSPUNLIV,2880769,WELIND,136.75,19694.45,2026-02-10,True,WELSPUN LIVING
IGL,IGL,2883073,INDGAS,177.27,3518.86,2026-02-10,True,INDRAPRASTHA GAS
UPL,UPL,2889473,UNIP,745.45,5239.1,2026-02-10,True,UPL
MUKANDLTD,MUKANDLTD,2899201,MUKAND,137.7,1367.08,2026-02-10,True,MUKAND
PETRONET,PETRONET,2905857,PETLNG,303.35,6500.9,2026-02-10,True,PETRONET LNG
PTC,PTC,2906881,POWTRA,190.5,4892.42,2026-02-10,True,PTC INDIA
VAIBHAVGBL,VAIBHAVGBL,2909185,VAIGLO,249.25,3876.68,2026-02-10,True,VAIBHAV GLOBAL
BIOCON,BIOCON,2911489,BIOCON,371,7187.25,2026-02-10,True,BIOCON
POONAWALLA,POONAWALLA,2919169,MAGFI,493,10905.19,2026-02-10,True,POONAWALLA FINCORP
LT,LT,2939649,LARTOU,4168,4727.65,2026-02-10,True,LARSEN & TOUBRO
EMIL,EMIL,2951681,ELEMA,104.85,11142.63,2026-02-10,True,ELECTRONICS MART IND
TCS,TCS,2953217,TCS,2984.8,9098.64,2026-02-10,True,TATA CONSULTANCY SERV LT
COFORGE,COFORGE,2955009,NIITEC,1555,8287.8,2026-02-10,True,COFORGE
PPLPHARMA,PPLPHARMA,2962177,PIRPHA,163.3,16262.3,2026-02-10,True,PIRAMAL PHARMA
NTPC,NTPC,2977281,NTPC,366.95,21863.57,2026-02-10,True,NTPC
JSWSTEEL,JSWSTEEL,3001089,JSWSTE,1247,3010.99,2026-02-10,True,JSW STEEL
GOKEX,GOKEX,3015169,GOKEXP,773.9,7470.71,2026-02-10,True,GOKALDAS EXPORTS
IIFL,IIFL,3023105,IIFHOL,528.2,2647.21,2026-02-10,True,IIFL FINANCE
